School Cohort G3-8,Year,Score
Milner,2008,29.7
Milner,2009,21.4
Milner,2010,44
Milner,2011,24.4
Milner,2012,38.3
ML King,2007,33.8
ML King,2008,45.9
ML King,2009,53.2
ML King,2010,77.4
ML King,2011,49
ML King,2012,58.5
Moylan,2007,41.7
Moylan,2008,40.1
Moylan,2009,50
Moylan,2010,63.5
Moylan,2011,54.4
Moylan,2012,
Naylor,2007,50
Naylor,2008,56.9
Naylor,2009,65.7
Naylor,2010,57.4
Naylor,2011,45.7
Naylor,2012,47.8
Parkville,2007,55.6
Parkville,2008,69.9
Parkville,2009,76.3
Parkville,2010,78
Parkville,2011,
Parkville,2012,
Rawson,2007,66.7
Rawson,2008,58.3
Rawson,2009,54.8
Rawson,2010,67.5
Rawson,2011,64
Rawson,2012,46.6
Sanchez,2007,33.5
Sanchez,2008,38.2
Sanchez,2009,40.7
Sanchez,2010,51.6
Sanchez,2011,
Sanchez,2012,
SAND,2007,45.4
SAND,2008,38.2
SAND,2009,28.7
SAND,2010,58.1
SAND,2011,48.4
SAND,2012,56.5
Simpson-Waverly,2007,42.9
Simpson-Waverly,2008,53.4
Simpson-Waverly,2009,64
Simpson-Waverly,2010,89.5
Simpson-Waverly,2011,76.9
Simpson-Waverly,2012,64.3
Sports & Med,2007,
Sports & Med,2008,
Sports & Med,2009,
Sports & Med,2010,
Sports & Med,2011,78.3
Sports & Med,2012,80.7
Sports & Med (Hartford Residents),2007,
Sports & Med (Hartford Residents),2008,
Sports & Med (Hartford Residents),2009,
Sports & Med (Hartford Residents),2010,
Sports & Med (Hartford Residents),2011,68
Sports & Med (Hartford Residents),2012,68.8
STEM at AF,2007,35.8
STEM at AF,2008,42
STEM at AF,2009,56.5
STEM at AF,2010,70.3
STEM at AF,2011,84.1
STEM at AF,2012,84.7
STEM at AF (Hartford Residents),2007,
STEM at AF (Hartford Residents),2008,
STEM at AF (Hartford Residents),2009,
STEM at AF (Hartford Residents),2010,
STEM at AF (Hartford Residents),2011,80
STEM at AF (Hartford Residents),2012,80.3
Webster,2007,66.2
Webster,2008,66.7
Webster,2009,68.6
Webster,2010,87.9
Webster,2011,87
Webster,2012,90.9
Webster (Hartford Residents),2007,63.1
Webster (Hartford Residents),2008,64.4
Webster (Hartford Residents),2009,63.3
Webster (Hartford Residents),2010,83.7
Webster (Hartford Residents),2011,81.3
Webster (Hartford Residents),2012,87.5
West Middle,2007,46.4
West Middle,2008,50.7
West Middle,2009,57.6
West Middle,2010,57.4
West Middle,2011,62.3
West Middle,2012,69.4
Wish,2007,51.7
Wish,2008,58.6
Wish,2009,73.5
Wish,2010,80
Wish,2011,62.2
Wish,2012,59.6
