Year,Country,FundingAgency,FundingAmount
2009,"Korea, North",Department of Agriculture,"17,921"
2009,"Korea, North",Department of State,"3,406,449"
2009,"Korea, North",Department of State,"1,849,925"
2009,"Korea, North",Department – State,"1,560,874"
2009,"Korea, South",Department of State,"34,570"
2009,"Korea, South",Department of Energy,"2,018,824"
2010,"Korea, North",U.S. Agency for International Development,"686,674"
2010,"Korea, North",Department of Agriculture,"-1,146,395"
2010,"Korea, North",Department of Agriculture,"3,329,087"
2010,"Korea, North",Department of State,"1,667,993"
2010,"Korea `South",Department of Agriculture,280
2010,"Korea, South",Department of Commerce,"3,439"
2010,"Korea, South",Department of Energy,"1,312,936"
2010,"Korea, South",Department of Justice,"15,387"
2010,"Korea, South",Department of Justice,"72,390"
2010,"Korea, South",Department of Justice,286
2010,"Korea, South",Environmental Protection Agency,"112,920"
2010,"Korea, South",Federal Trade Commission,"32,945"
2011,"Korea, North",U.S. Agency for International Development,"1,011,463"
2011,"Korea, North",Department of State,"1,619,112"
2011,"Korea, South",Department of Agriculture,"5,342"
2011,"Korea, South",Department of State,"7,222"
2011,"So Korea",Department of Commerce,"5,578"
2011,"Korea, South",Department of Defense,"170,825"
2011,"Korea, South",Department of Defense,"39,357"
2011,"Korea, South",Department of Energy,"1,316,902"
2012,"Korea, North",U.S. Agency for International Development,"-2,910"
2012,"Korea. No.",Department of State,"1,720,715"
2012,"Korea, North",Department of State,"1,246,415"
2012,"Korea, South",Department of Agriculture,"9,376"
2012,"Korea, South",Department of Commerce,"1,489"
2012,"Korea, South",Department of Energy,"1,140,530"
2012,"Korea, South",Department of Justice,"36,615"
2013,"Korea, North",U.S. Agency for International Development,"-73,315"
2013,"Korea, North",Department of Agriculture,"-579,341"
2013,"Korea, Nor",Department of State,"1,308,813"
2013,"Korea, South",U.S. Agency for International Development,"171,710"
2013,"Korea, South",Department of Agriculture,"1,300"
2013,"Korea, South",Department of Energy,"508,925"
2014,"Korea, North",U.S. Agency for International Development,"-90,375"
2014,"Korea, North",Department of State,"2,168,429"
2014,"Korea, South",U.S. Agency for International Development,"284,917"
2014,"Korea, South",Department of Defense,"538,674"
2014,"Korea, South",Department of Energy,"679,258"
2015,"Korea, North",Department of State,"2,103,584"
2015,"Korea, South",U.S. Agency for International Development,"308,939"
2015,"Korea, South",Department of State,"4,210"
2015,"Korea, South",Department of State,"26,244"
2015,"Korea, South",Department of Energy,"117,573"
2016,"Korea north",U.S. Agency for International Development,-658
2016,"Korea, North",Department of State,"6,269"
2016,"Korea, North",Department of State,"2,222,557"
2016,"south korea",U.S. Agency for International Development,"394,767"
2016,"Korea, South",Department of State,-148
2016,"Korea, South",Department of State,"26,004"
2016,"Korea, So;",Department of Energy,"417,516"
2016,"Korea, South",Department of Health and Human Services,"59,601"
2017,"Korea, North",U.S. Agency for International Development,"1,021,659"
2017,"Korea, North",Department of State,"2,524,549"
2017,"Korea-South",U.S. Agency for International Development,"370,586"
2017,"Korea::South",Department of State,"25,541"
2017,"Korea, South",Department of Energy,"264,099"
2017,"Korea, South",Department of Health and Human Services,"132,105"
2018,"Korea xNorth",U.S. Agency for International Development,"-4,083"
2018,"Korea, North",Department of State,"-10,392"
2018,"Korea, North",Department of State,"2,595,914"
2018,"Korea, South",U.S. Agency for International Development,"370,554"
2018,"Korea, South",Department of Energy,"147,200"
2018,"Korea, South",Department of Health and Human Svc,"16,940"
2018,"Korea, South",Department of Homeland Sec,"15,048"
